Date,Home,HG,Away,AG
2022-02-27,SEA,0,NSH,1
2022-02-27,HOU,0,RSL,0
2022-02-27,LAG,1,NYC,0
2022-02-27,ATL,3,SKC,1
2022-02-27,ORL,2,MTL,0
2022-02-26,POR,2,NER,2
2022-02-26,SJE,1,NYRB,3
2022-02-26,ATX,4,CIN,0
2022-02-26,MIA,0,CHI,0
2022-02-26,DCU,3,CLT,0
2022-02-26,FCD,1,TOR,1
2022-02-26,LAFC,3,COL,0
2022-02-26,CLB,4,VAN,0
2022-02-26,PHI,1,MIN,1
