"","Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"","Bongokuhle Hlongwane","MIN","2023","F","$560,000","$610,000","2023-04-30"
"","Pedro Vite","VAN","2021","M","$556,000","$609,997","2021-09-30"
"","Pedro Vite","VAN","2022","M","$556,000","$609,997","2022-04-15"
"","Pedro Vite","VAN","2022","M","$556,000","$609,997","2022-09-02"
"","Braian Ojeda","RSL","2022","M","$550,000","$608,653","2022-09-02"
"","Mason Toye","MTL","2023","F","$550,000","$608,000","2023-04-30"
"","Rodrigues","SJE","2022","D","$550,000","$608,000","2022-09-02"
"","Nathan Byrne","CLT","2022","F","$560,000","$607,833","2022-09-02"
"","Nathan Byrne","CLT","2023","D","$560,000","$607,833","2023-04-30"
"","Dominique Badji","CIN","2023","F","$550,000","$605,000","2023-04-30"
"","Jonathan Menéndez","RSL","2021","M","$500,000","$602,813","2021-09-30"
"","Jonathan Menéndez","RSL","2022","M","$500,000","$602,813","2022-04-15"
"","Jonathan Menéndez","RSL","2022","M","$500,000","$602,813","2022-09-02"
"","Jonathan Menéndez","RSL","2023","F","$500,000","$602,813","2023-04-30"
"","Leonardo Campana","MIA","2023","F","$550,000","$601,680","2023-04-30"
"","Marcelo Silva","RSL","2023","D","$600,000","$600,000","2023-04-30"
"","Paxton Pomykal","FCD","2021","M","$600,000","$600,000","2021-04-15"
"","Paxton Pomykal","FCD","2021","M","$600,000","$600,000","2021-09-30"
"","Fafa Picault","HOU","2022","F","$600,000","$600,000","2022-04-15"
"","Fafa Picault","HOU","2022","F","$600,000","$600,000","2022-09-02"
"","Moussa Djitté","ATX","2023","F","$600,000","$600,000","2023-04-30"
"","Ahmed Hamdi","MTL","2023","M","$500,000","$597,500","2023-04-30"
"","Martín Rodríguez","DCU","2022","F","$456,000","$597,200","2022-09-02"
"","Marcelo Silva","RSL","2021","D","$550,000","$596,667","2021-04-15"
"","Marcelo Silva","RSL","2021","D","$550,000","$596,667","2021-09-30"
"","Kemar Lawrence","MIN","2023","D","$500,012","$595,012","2023-04-30"
"","Dru Yearwood","NYRB","2023","M","$525,000","$593,750","2023-04-30"
"","Matko Miljevic","MTL","2021","M","$545,455","$593,364","2021-09-30"
"","Matko Miljevic","MTL","2022","M","$545,455","$593,364","2022-04-15"
"","Matko Miljevic","MTL","2023","F","$545,455","$593,364","2023-04-30"
"","Florian Jungwirth","VAN","2022","D","$550,000","$592,667","2022-04-15"
"","Florian Jungwirth","VAN","2022","D","$550,000","$592,667","2022-09-02"
"","Andrés Perea","PHI","2023","D","$525,000","$591,500","2023-04-30"
"","Brad Smith","DCU","2022","D","$550,000","$591,250","2022-04-15"
"","Brad Smith","DCU","2022","D","$550,000","$591,250","2022-09-02"
"","Nick Marsman","MIA","2022","GK","$474,996","$587,184","2022-04-15"
"","Nick Marsman","MIA","2022","GK","$474,996","$587,184","2022-09-02"
"","Nick Marsman","MIA","2023","GK","$474,996","$587,184","2023-04-30"
"","Miguel Tapias","MIN","2023","D","$500,012","$586,887","2023-04-30"
"","Jhegson Méndez","ORL","2021","M","$550,000","$586,750","2021-04-15"
"","Jhegson Méndez","ORL","2021","M","$550,000","$586,750","2021-09-30"
"","Daniel Gazdag","PHI","2022","M","$550,000","$586,250","2022-04-15"
"","Daniel Gazdag","PHI","2022","M","$550,000","$586,250","2022-09-02"
"","Tomás Pochettino","ATX","2022","M","$525,000","$585,000","2022-04-15"
"","Tomás Pochettino","ATX","2022","M","$525,000","$585,000","2022-09-02"
"","Adama Diomande","TOR","2023","F","$525,000","$585,000","2023-04-30"
"","Sebastien Ibeagha","FCD","2023","D","$520,000","$583,625","2023-04-30"
"","Rubio Rubín","RSL","2022","F","$510,000","$582,937","2022-04-15"
"","Rubio Rubín","RSL","2022","F","$510,000","$582,937","2022-09-02"
"","Wilfrid Kaptoum","NER","2022","M","$525,000","$582,500","2022-04-15"
"","Wilfrid Kaptoum","NER","2022","M","$525,000","$582,500","2022-09-02"
"","Bressan","FCD","2021","D","$536,000","$582,340","2021-04-15"
"","Bressan","FCD","2021","D","$536,000","$582,340","2021-09-30"
"","Mark Delgado","TOR","2021","M","$500,000","$581,250","2021-04-15"
"","Mark Delgado","TOR","2021","M","$500,000","$581,250","2021-09-30"
"","Robin Jansson","ORL","2022","D","$525,000","$581,250","2022-04-15"
"","Robin Jansson","ORL","2022","D","$525,000","$581,250","2022-09-02"
"","Corey Baird","HOU","2023","F","$550,000","$581,031","2023-04-30"
"","Kai Wagner","PHI","2022","D","$510,000","$581,000","2022-04-15"
"","Kai Wagner","PHI","2022","D","$510,000","$581,000","2022-09-02"
"","Ranko Veselinovic","VAN","2023","D","$495,000","$580,500","2023-04-30"
"","Bongokuhle Hlongwane","MIN","2022","F","$530,000","$580,000","2022-04-15"
