,Date,Home,HG,Away,AG
455,2023-03-04,ATX,1,MTL,0
456,2023-03-04,FCD,3,LAG,1
457,2023-03-04,CHI,1,NYC,1
458,2023-03-04,STL,2,CLT,1
459,2023-03-04,MIA,2,PHI,0
460,2023-03-04,ORL,0,CIN,0
461,2023-03-04,NYRB,0,NSH,0
462,2023-03-04,ATL,1,TOR,1
463,2023-03-04,CLB,2,DCU,0
464,2023-03-04,NER,3,HOU,0
465,2023-03-04,LAFC,3,POR,2
466,2023-02-27,POR,1,SKC,0
467,2023-02-26,SEA,4,COL,0
468,2023-02-25,VAN,1,RSL,2
469,2023-02-25,ATX,2,STL,3
470,2023-02-25,FCD,0,MIN,1
471,2023-02-25,CIN,2,HOU,1
472,2023-02-25,ORL,1,NYRB,0
473,2023-02-25,CLT,0,NER,1
474,2023-02-25,DCU,3,TOR,2
475,2023-02-25,PHI,4,CLB,0
476,2023-02-25,ATL,2,SJE,1
477,2023-02-25,MIA,2,MTL,0
478,2023-02-25,NSH,2,NYC,0
479,2022-10-09,ATX,1,COL,1
480,2022-10-09,HOU,1,LAG,3
481,2022-10-09,MIN,2,VAN,0
482,2022-10-09,SEA,2,SJE,2
483,2022-10-09,FCD,2,SKC,1
484,2022-10-09,RSL,3,POR,1
485,2022-10-09,LAFC,0,NSH,1
486,2022-10-09,ATL,1,NYC,2
487,2022-10-09,MIA,0,MTL,3
488,2022-10-09,NYRB,2,CLT,0
489,2022-10-09,PHI,4,TOR,0
490,2022-10-09,CHI,1,NER,1
491,2022-10-09,ORL,2,CLB,1
492,2022-10-09,DCU,2,CIN,5
493,2022-10-05,MIA,4,ORL,1
494,2022-10-05,CLT,2,CLB,2
495,2022-10-02,NSH,1,HOU,2
496,2022-10-02,SKC,1,SEA,0
497,2022-10-02,POR,1,LAFC,2
498,2022-10-02,NYC,2,ORL,1
499,2022-10-01,LAG,1,RSL,1
500,2022-10-01,VAN,2,ATX,0
501,2022-10-01,SJE,2,MIN,0
502,2022-10-01,CLB,2,NYRB,1
503,2022-10-01,MTL,0,DCU,0
504,2022-10-01,CIN,2,CHI,3
505,2022-10-01,CLT,4,PHI,0
506,2022-10-01,COL,1,FCD,0
507,2022-10-01,NER,2,ATL,1
508,2022-09-30,TOR,0,MIA,1
509,2022-09-27,SEA,1,CIN,1
510,2022-09-24,SJE,2,LAG,3
511,2022-09-18,LAFC,3,HOU,1
512,2022-09-18,DCU,2,MIA,3
513,2022-09-18,CLB,1,POR,1
514,2022-09-17,SJE,1,FCD,1
515,2022-09-17,LAG,4,COL,1
516,2022-09-17,VAN,2,SEA,1
517,2022-09-17,RSL,1,CIN,2
518,2022-09-17,ATX,1,NSH,1
519,2022-09-17,SKC,3,MIN,1
520,2022-09-17,CHI,2,CLT,3
521,2022-09-17,ORL,3,TOR,0
522,2022-09-17,NER,0,MTL,1
523,2022-09-17,ATL,0,PHI,0
524,2022-09-17,NYC,2,NYRB,0
525,2022-09-14,VAN,3,LAG,0
526,2022-09-14,COL,2,SJE,1
527,2022-09-14,ATX,3,RSL,0
528,2022-09-14,ORL,0,ATL,1
529,2022-09-13,HOU,3,NER,1
530,2022-09-13,SKC,3,DCU,0
531,2022-09-13,MIA,2,CLB,1
532,2022-09-13,MIN,1,LAFC,1
533,2022-09-13,MTL,3,CHI,2
534,2022-09-10,POR,1,MIN,0
535,2022-09-10,RSL,0,DCU,0
536,2022-09-10,COL,3,VAN,1
537,2022-09-10,FCD,2,LAFC,1
538,2022-09-10,HOU,0,SKC,0
539,2022-09-10,CHI,3,MIA,1
540,2022-09-10,SEA,2,ATX,0
541,2022-09-10,PHI,4,ORL,1
542,2022-09-10,ATL,4,TOR,2
543,2022-09-10,CIN,6,SJE,0
544,2022-09-10,NYRB,2,NER,1
545,2022-09-10,NSH,1,LAG,1
546,2022-09-10,CLT,1,NYC,0
547,2022-09-09,MTL,2,CLB,2
548,2022-09-07,NYC,1,CIN,0
549,2022-09-04,LAFC,2,RSL,0
550,2022-09-04,SJE,2,VAN,0
551,2022-09-04,SEA,2,HOU,1
552,2022-09-04,LAG,2,SKC,2
553,2022-09-04,NER,3,NYC,0
554,2022-09-04,DCU,0,COL,0
555,2022-09-04,TOR,3,MTL,4
556,2022-09-04,POR,2,ATL,1
557,2022-09-03,NSH,3,ATX,0
558,2022-09-03,CIN,2,CLT,0
559,2022-09-03,NYRB,0,PHI,2
560,2022-09-03,CLB,0,CHI,0
561,2022-09-03,MIN,0,FCD,2
562,2022-08-31,ATX,1,POR,2
563,2022-08-31,RSL,3,MIN,0
564,2022-08-31,ORL,3,SEA,2
565,2022-08-31,NSH,4,COL,1
566,2022-08-31,HOU,2,LAFC,1
567,2022-08-31,NYC,1,DCU,2
568,2022-08-31,NER,0,CHI,0
569,2022-08-31,CLB,1,MIA,0
570,2022-08-31,MTL,0,NYRB,1
571,2022-08-31,TOR,2,LAG,2
572,2022-08-31,PHI,4,ATL,1
573,2022-08-28,NER,1,LAG,2
574,2022-08-28,ORL,2,NYC,1
575,2022-08-28,ATL,3,DCU,2
576,2022-08-27,VAN,0,NSH,3
577,2022-08-27,FCD,1,RSL,1
578,2022-08-27,SKC,1,SJE,0
579,2022-08-27,CLT,0,TOR,2
580,2022-08-27,CHI,0,MTL,2
581,2022-08-27,PHI,6,COL,0
582,2022-08-27,CIN,2,CLB,2
583,2022-08-27,NYRB,3,MIA,1
584,2022-08-27,MIN,1,HOU,1
585,2022-08-26,POR,2,SEA,1
586,2022-08-26,ATX,4,LAFC,1
587,2022-08-21,NSH,4,FCD,0
588,2022-08-21,SKC,4,POR,1
589,2022-08-21,CLT,1,ORL,2
590,2022-08-21,CLB,2,ATL,2
591,2022-08-21,CHI,0,NYC,2
592,2022-08-20,RSL,1,VAN,1
593,2022-08-20,SJE,2,LAFC,1
594,2022-08-20,COL,1,HOU,1
595,2022-08-20,MIN,2,ATX,1
596,2022-08-20,MIA,2,TOR,1
597,2022-08-20,MTL,4,NER,0
598,2022-08-20,DCU,0,PHI,6
599,2022-08-20,NYRB,1,CIN,1
600,2022-08-19,LAG,3,SEA,3
601,2022-08-17,VAN,2,COL,1
602,2022-08-17,FCD,1,PHI,0
603,2022-08-17,NYC,1,CLT,3
604,2022-08-17,TOR,2,NER,2
605,2022-08-17,ATL,1,NYRB,2
606,2022-08-16,LAFC,1,DCU,0
607,2022-08-14,SEA,1,RSL,2
608,2022-08-14,NSH,1,MIN,2
609,2022-08-13,LAFC,4,CLT,0
610,2022-08-13,LAG,5,VAN,2
611,2022-08-13,COL,1,CLB,1
612,2022-08-13,HOU,2,MTL,3
613,2022-08-13,ATX,4,SKC,3
614,2022-08-13,FCD,4,SJE,1
615,2022-08-13,MIA,3,NYC,2
616,2022-08-13,NER,1,DCU,0
617,2022-08-13,TOR,3,POR,1
618,2022-08-13,CIN,2,ATL,2
619,2022-08-13,PHI,4,CHI,1
620,2022-08-13,NYRB,0,ORL,1
621,2022-08-06,POR,1,FCD,0
622,2022-08-06,RSL,1,LAFC,4
