"Date","Time","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
"2023-07-12","18:30 CDT","NER","2","1.74","1.74","ATL","1","1.47","1.48","1","0.28","0.27","1","1.62","1.09"
"2023-07-12","18:30 CDT","NYRB","1","1.01","1.01","CIN","2","1.11","1.12","-1","-0.10","-0.10","-1","1.24","1.30"
"2023-07-08","21:30 CDT","LAFC","1","1.89","1.89","SJE","1","0.68","0.68","0","1.21","1.22","0","2.35","0.43"
"2023-07-08","21:30 CDT","LAG","2","1.43","1.44","PHI","1","0.60","0.60","1","0.83","0.84","2","2.06","0.68"
"2023-07-08","21:30 CDT","VAN","2","1.11","1.11","SEA","3","1.91","1.93","-1","-0.80","-0.82","-1","0.80","1.93"
"2023-07-08","20:30 CDT","RSL","4","1.65","1.65","ORL","0","0.84","0.84","4","0.81","0.80","4","1.98","0.75"
"2023-07-08","20:30 CDT","COL","2","2.02","2.02","FCD","1","0.49","0.49","1","1.53","1.53","1","2.56","0.30"
"2023-07-08","19:30 CDT","MIN","1","1.94","1.95","ATX","4","3.36","3.54","-3","-1.42","-1.60","-3","0.62","2.19"
"2023-07-08","19:30 CDT","CHI","1","0.59","0.59","NSH","0","1.52","1.71","1","-0.93","-1.13","1","0.62","2.14"
"2023-07-08","19:30 CDT","HOU","2","1.81","1.82","SKC","2","1.19","1.19","0","0.62","0.63","0","1.81","0.92"
"2023-07-08","18:30 CDT","CLT","2","1.00","1.00","CIN","2","1.67","1.67","0","-0.68","-0.68","0","0.80","1.94"
"2023-07-08","18:30 CDT","TOR","0","0.40","0.40","STL","1","1.36","1.36","-1","-0.96","-0.96","-1","0.56","2.19"
"2023-07-08","18:30 CDT","MTL","0","0.48","0.49","ATL","1","1.24","1.30","-1","-0.76","-0.81","-1","0.63","2.08"
"2023-07-08","18:30 CDT","CLB","1","0.64","0.64","NYC","1","1.39","1.42","0","-0.75","-0.77","0","0.72","2.00"
"2023-07-08","18:30 CDT","NYRB","2","2.09","2.10","NER","1","0.70","0.70","1","1.39","1.40","1","2.35","0.46"
"2023-07-08","18:30 CDT","DCU","2","2.94","2.94","MIA","2","0.61","0.61","0","2.33","2.33","0","2.76","0.16"
"2023-07-05","18:30 CDT","NYC","1","1.94","1.94","CLT","1","0.20","0.20","0","1.74","1.74","0","2.63","0.23"
"2023-07-04","21:30 CDT","LAG","2","1.59","1.59","LAFC","1","1.46","1.49","1","0.13","0.10","1","1.43","1.31"
"2023-07-04","19:30 CDT","FCD","0","1.31","1.31","DCU","1","0.64","0.65","-1","0.67","0.66","-1","2.02","0.70"
"2023-07-04","18:30 CDT","MIA","2","0.83","0.83","CLB","2","2.11","2.12","0","-1.28","-1.28","0","0.50","2.30"
"2023-07-04","18:30 CDT","ORL","4","2.05","2.06","TOR","0","0.20","0.20","4","1.85","1.86","4","2.67","0.20"
"2023-07-02","15:00 CDT","ATL","2","0.81","0.82","PHI","0","0.78","0.80","2","0.02","0.02","2","1.31","1.31"
"2023-07-01","21:30 CDT","SEA","1","1.61","1.62","HOU","0","0.45","0.45","1","1.16","1.16","1","2.30","0.47"
"2023-07-01","21:30 CDT","SJE","2","1.76","1.76","LAG","2","0.77","0.77","0","0.99","0.99","0","2.14","0.62"
"2023-07-01","20:03 CDT","MTL","0","0.84","0.84","NYC","1","0.81","0.84","-1","0.02","-0.01","-1","1.30","1.33"
"2023-07-01","19:30 CDT","SKC","3","1.90","1.90","VAN","0","0.98","0.99","3","0.92","0.92","3","2.01","0.76"
"2023-07-01","19:30 CDT","NSH","2","0.88","0.88","DCU","0","1.11","1.11","2","-0.23","-0.23","2","1.20","1.50"
"2023-07-01","19:30 CDT","STL","2","2.17","2.20","COL","0","0.70","0.70","2","1.47","1.50","2","2.37","0.44"
