,Date,Home_team_ID,HG,Away_team_ID,AG,Year
388,2023-04-15,MIN2023,1,ORL2023,2,2023
389,2023-04-15,CHI2023,1,PHI2023,2,2023
390,2023-04-15,NYRB2023,1,HOU2023,1,2023
391,2023-04-15,CLB2023,1,NER2023,0,2023
392,2023-04-15,TOR2023,2,ATL2023,2,2023
393,2023-04-15,NYC2023,2,NSH2023,1,2023
394,2023-04-15,MTL2023,0,DCU2023,1,2023
395,2023-04-15,CLT2023,2,COL2023,2,2023
396,2023-04-08,SEA2023,2,STL2023,0,2023
397,2023-04-08,VAN2023,1,POR2023,0,2023
398,2023-04-08,RSL2023,3,CLT2023,1,2023
399,2023-04-08,HOU2023,3,LAG2023,0,2023
400,2023-04-08,SKC2023,0,COL2023,1,2023
401,2023-04-08,CHI2023,2,MIN2023,1,2023
402,2023-04-08,NSH2023,0,TOR2023,0,2023
403,2023-04-08,NYC2023,1,ATL2023,1,2023
404,2023-04-08,MIA2023,0,FCD2023,1,2023
405,2023-04-08,CIN2023,1,PHI2023,0,2023
406,2023-04-08,NER2023,4,MTL2023,0,2023
407,2023-04-08,NYRB2023,1,SJE2023,1,2023
408,2023-04-08,DCU2023,0,CLB2023,2,2023
409,2023-04-08,LAFC2023,3,ATX2023,0,2023
410,2023-04-01,VAN2023,5,MTL2023,0,2023
411,2023-04-01,SJE2023,2,HOU2023,1,2023
412,2023-04-01,COL2023,0,LAFC2023,0,2023
413,2023-04-01,PHI2023,0,SKC2023,0,2023
414,2023-04-01,FCD2023,1,POR2023,1,2023
415,2023-04-01,CHI2023,0,DCU2023,0,2023
416,2023-04-01,STL2023,0,MIN2023,1,2023
417,2023-04-01,LAG2023,1,SEA2023,2,2023
418,2023-04-01,ORL2023,0,NSH2023,2,2023
419,2023-04-01,TOR2023,2,CLT2023,2,2023
420,2023-04-01,CIN2023,1,MIA2023,0,2023
421,2023-04-01,ATL2023,1,NYRB2023,0,2023
422,2023-04-01,CLB2023,4,RSL2023,0,2023
423,2023-04-01,NER2023,1,NYC2023,1,2023
424,2023-03-25,SJE2023,0,TOR2023,0,2023
425,2023-03-25,LAFC2023,2,FCD2023,1,2023
426,2023-03-25,RSL2023,0,STL2023,4,2023
427,2023-03-25,SKC2023,1,SEA2023,4,2023
428,2023-03-25,ATX2023,1,COL2023,1,2023
429,2023-03-25,MIN2023,1,VAN2023,1,2023
430,2023-03-25,NSH2023,0,CIN2023,1,2023
431,2023-03-25,HOU2023,1,NYC2023,0,2023
432,2023-03-25,CLT2023,0,NYRB2023,1,2023
433,2023-03-25,PHI2023,1,ORL2023,2,2023
434,2023-03-25,DCU2023,1,NER2023,2,2023
435,2023-03-25,CLB2023,6,ATL2023,1,2023
436,2023-03-25,MIA2023,2,CHI2023,3,2023
437,2023-03-25,POR2023,0,LAG2023,0,2023
438,2023-03-18,LAG2023,1,VAN2023,1,2023
439,2023-03-18,COL2023,1,MIN2023,2,2023
440,2023-03-18,HOU2023,2,ATX2023,0,2023
441,2023-03-18,CHI2023,3,CIN2023,3,2023
442,2023-03-18,STL2023,3,SJE2023,0,2023
443,2023-03-18,FCD2023,2,SKC2023,1,2023
444,2023-03-18,ATL2023,5,POR2023,1,2023
445,2023-03-18,NYC2023,3,DCU2023,2,2023
446,2023-03-18,NYRB2023,2,CLB2023,1,2023
447,2023-03-18,ORL2023,1,CLT2023,2,2023
448,2023-03-18,NER2023,1,NSH2023,0,2023
449,2023-03-18,TOR2023,2,MIA2023,0,2023
450,2023-03-18,MTL2023,3,PHI2023,2,2023
451,2023-03-18,SEA2023,0,LAFC2023,0,2023
452,2023-03-12,LAFC2023,4,NER2023,0,2023
453,2023-03-11,SJE2023,1,COL2023,0,2023
454,2023-03-11,POR2023,1,STL2023,2,2023
455,2023-03-11,RSL2023,1,ATX2023,2,2023
456,2023-03-11,MIN2023,1,NYRB2023,1,2023
457,2023-03-11,NSH2023,2,MTL2023,0,2023
458,2023-03-11,SKC2023,0,LAG2023,0,2023
459,2023-03-11,TOR2023,1,CLB2023,1,2023
460,2023-03-11,DCU2023,1,ORL2023,1,2023
461,2023-03-11,NYC2023,0,MIA2023,0,2023
462,2023-03-11,PHI2023,1,CHI2023,0,2023
463,2023-03-11,CIN2023,1,SEA2023,0,2023
464,2023-03-11,VAN2023,0,FCD2023,1,2023
465,2023-03-11,CLT2023,0,ATL2023,3,2023
466,2023-03-04,SEA2023,2,RSL2023,0,2023
467,2023-03-04,SJE2023,2,VAN2023,1,2023
468,2023-03-04,COL2023,0,SKC2023,0,2023
469,2023-03-04,ATX2023,1,MTL2023,0,2023
470,2023-03-04,FCD2023,3,LAG2023,1,2023
471,2023-03-04,CHI2023,1,NYC2023,1,2023
472,2023-03-04,STL2023,2,CLT2023,1,2023
473,2023-03-04,MIA2023,2,PHI2023,0,2023
474,2023-03-04,ORL2023,0,CIN2023,0,2023
475,2023-03-04,NYRB2023,0,NSH2023,0,2023
476,2023-03-04,ATL2023,1,TOR2023,1,2023
477,2023-03-04,CLB2023,2,DCU2023,0,2023
478,2023-03-04,NER2023,3,HOU2023,0,2023
479,2023-03-04,LAFC2023,3,POR2023,2,2023
480,2023-02-27,POR2023,1,SKC2023,0,2023
481,2023-02-26,SEA2023,4,COL2023,0,2023
482,2023-02-25,VAN2023,1,RSL2023,2,2023
483,2023-02-25,ATX2023,2,STL2023,3,2023
484,2023-02-25,FCD2023,0,MIN2023,1,2023
485,2023-02-25,CIN2023,2,HOU2023,1,2023
486,2023-02-25,ORL2023,1,NYRB2023,0,2023
487,2023-02-25,CLT2023,0,NER2023,1,2023
488,2023-02-25,DCU2023,3,TOR2023,2,2023
489,2023-02-25,PHI2023,4,CLB2023,0,2023
490,2023-02-25,ATL2023,2,SJE2023,1,2023
491,2023-02-25,MIA2023,2,MTL2023,0,2023
492,2023-02-25,NSH2023,2,NYC2023,0,2023
493,2022-10-09,ATX2022,1,COL2022,1,2022
494,2022-10-09,HOU2022,1,LAG2022,3,2022
495,2022-10-09,MIN2022,2,VAN2022,0,2022
496,2022-10-09,SEA2022,2,SJE2022,2,2022
