"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Raheem Edwards","LAG","2022","FB","2511","17","3","1","1.17","0.41","-0.17","24","3","2.07","0.93","3.24","0.21","0.87"
"","Jacob Peterson","SKC","2015","W","1436","21","11","1","2.34","0.39","-1.34","10","1","0.90","0.10","3.23","0.02","1.30"
"","Steve Birnbaum","DCU","2019","CB","3352","29","6","1","2.59","-1.45","-1.59","5","0","0.64","-0.64","3.23","0.44","1.60"
"","Jan Gregus","MIN","2020","DM","1744","35","8","1","1.34","-0.79","-0.34","26","5","1.89","3.11","3.23","0.47","1.01"
"","Toni Dovale","SKC","2014","W","1100","29","8","1","1.52","-0.20","-0.52","15","2","1.72","0.28","3.23","0.44","1.13"
"","Michael Bradley","TOR","2016","DM","2329","12","3","1","0.55","0.38","0.45","35","4","2.67","1.33","3.23","0.57","0.37"
"","Dax McCarty","NYRB","2016","DM","2443","24","8","3","1.79","0.93","1.21","19","1","1.43","-0.43","3.22","0.77","0.97"
"","Patrice Bernier","MTL","2017","CM","1929","21","5","2","1.77","-0.17","0.23","28","2","1.45","0.55","3.22","1.47","1.28"
"","Robert Taylor","MIA","2023","W","1626","18","8","4","1.26","0.12","2.74","29","5","1.96","3.04","3.22","0.42","0.67"
"","Luis Martins","SKC","2021","FB","3241","19","6","1","0.81","0.02","0.19","29","3","2.40","0.60","3.21","0.25","0.45"
"","Conor Doyle","DCU","2013","ST","862","23","11","2","2.43","0.41","-0.43","5","1","0.78","0.22","3.21","1.94","1.77"
"","Ashley Westwood","CLT","2023","CM","2823","16","3","3","0.95","0.21","2.05","34","2","2.26","-0.26","3.21","1.96","0.69"
"","Michael Bradley","TOR","2019","DM","2588","22","5","3","1.78","0.87","1.22","25","1","1.43","-0.43","3.21","0.55","1.00"
"","Carlos Alvarez","CHV, COL","2014","W","1373","29","7","0","1.96","-1.30","-1.96","14","1","1.25","-0.25","3.21","0.00","1.16"
"","Sal Zizzo","SKC","2014","W","1173","19","7","0","1.44","-0.43","-1.44","10","3","1.77","1.23","3.21","0.00","1.07"
"","Youness Mokhtar","CLB","2020","W","897","21","8","3","2.22","0.55","0.78","8","1","0.99","0.01","3.21","1.43","1.21"
"","Cristhian Paredes","POR","2021","DM","1295","20","4","3","2.37","-0.51","0.63","6","1","0.83","0.17","3.21","0.96","0.89"
"","Omir Fernandez","NYRB","2019","W","666","12","6","2","2.13","-0.65","-0.13","7","1","1.07","-0.07","3.20","0.00","1.33"
"","Jonathan dos Santos","LAG","2018","CM","2065","11","5","2","0.89","0.27","1.11","27","4","2.31","1.69","3.20","1.42","0.67"
