"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Ariel Lassiter","HOU","2021","ST","632","24","10","0","1.99","-0.61","-1.99","6","0","0.46","-0.46","2.45","0.00","1.49"
"","Nick Lima","ATX","2021","FB","2213","18","4","0","0.63","-0.38","-0.63","15","2","1.80","0.20","2.43","0.00","0.48"
"","Wil Trapp","MIN","2021","DM","2971","14","3","1","0.45","0.30","0.55","22","1","1.97","-0.97","2.43","0.59","0.25"
"","Oswaldo Alanís","SJE","2021","CB","2264","18","10","2","2.11","0.27","-0.11","4","0","0.31","-0.31","2.42","1.12","1.56"
"","Zac McGraw","POR","2023","CB","2610","22","6","1","1.62","-0.44","-0.62","5","1","0.80","0.20","2.42","0.55","1.42"
"","Tommy Thompson","SJE","2022","FB","1457","11","2","1","1.70","-0.75","-0.70","12","2","0.72","1.28","2.42","0.92","1.21"
"","Ismael Tajouri-Shradi","MIN","2023","W","395","17","9","1","1.42","0.27","-0.42","5","2","1.00","1.00","2.42","0.00","0.58"
"","Nathan","SJE","2022","CB","2468","28","6","3","2.27","0.94","0.73","5","0","0.14","-0.14","2.41","2.31","1.59"
"","Dejan Joveljic","LAG","2021","ST","806","17","7","2","1.73","-0.54","0.27","5","2","0.67","1.33","2.41","1.77","1.25"
"","Yuya Kubo","CIN","2022","CM","1495","15","2","1","1.01","-0.31","-0.01","18","0","1.39","-1.39","2.40","0.00","0.36"
"","Dominique Badji","NSH, COL","2021","ST","593","22","12","5","2.40","1.45","2.60","0","0","0.00","0.00","2.40","1.58","1.09"
"","Danny Hoesen","ATX","2022","ST","467","14","6","3","2.24","0.53","0.76","3","0","0.15","-0.15","2.39","3.95","2.82"
"","Daniel Royer","NYRB","2021","ST","578","22","6","0","1.79","-0.82","-1.79","5","0","0.60","-0.60","2.39","0.00","1.11"
"","Claudio Bravo","POR","2022","FB","2441","24","2","0","0.96","-0.22","-0.96","21","2","1.43","0.57","2.39","0.00","0.66"
"","Alan Franco","ATL","2022","CB","2993","12","5","1","0.91","0.57","0.09","7","2","1.47","0.53","2.38","0.72","0.68"
"","Andrés Reyes","NYRB","2023","CB","2579","24","4","2","2.28","-1.24","-0.28","2","0","0.09","-0.09","2.38","1.64","1.69"
"","Talles Magno","NYC","2021","W","500","9","5","2","1.78","0.32","0.22","6","0","0.59","-0.59","2.38","0.45","0.79"
"","Niko Hansen","MIN","2021","W","502","10","4","1","1.36","-0.24","-0.36","6","1","1.02","-0.02","2.37","1.52","0.87"
"","Auro","TOR","2021","FB","2155","11","4","0","0.42","-0.21","-0.42","16","3","1.95","1.05","2.37","0.00","0.28"
"","Aníbal Godoy","NSH","2021","DM","2191","13","4","0","1.12","-0.67","-1.12","15","1","1.23","-0.23","2.36","0.00","0.78"
"","Paxten Aaronson","PHI","2021","AM","674","11","9","3","1.03","1.38","1.97","10","0","1.32","-1.32","2.35","1.12","0.60"
"","Sean Nealis","NYRB","2023","CB","2950","14","5","1","1.90","-0.30","-0.90","4","1","0.45","0.55","2.35","0.46","1.29"
"","Bradley Wright-Phillips","CLB","2021","ST","771","13","3","1","1.78","-0.17","-0.78","3","0","0.56","-0.56","2.34","0.45","1.54"
"","Felipe","DCU","2021","CM","1283","13","6","1","0.85","0.61","0.15","16","2","1.49","0.51","2.34","0.87","0.44"
"","Nathan","POR","2023","ST","665","14","5","1","1.70","-0.50","-0.70","6","1","0.63","0.37","2.33","0.59","1.01"
"","Joel Waterman","MTL","2023","CB","2502","4","2","1","1.05","0.36","-0.05","5","1","1.29","-0.29","2.33","0.63","0.60"
"","Raheem Edwards","LAG","2023","FB","1981","15","5","1","0.92","0.27","0.08","17","1","1.40","-0.40","2.33","0.38","0.58"
"","Damion Lowe","MIA","2022","CB","2632","11","5","1","1.48","0.23","-0.48","6","1","0.84","0.16","2.32","0.23","0.57"
"","John Tolkin","NYRB","2021","FB","2206","21","4","1","0.88","-0.38","0.12","32","1","1.44","-0.44","2.32","0.51","0.41"
"","Russell Teibert","VAN","2021","CM","2634","11","1","1","0.27","0.11","0.73","28","2","2.04","-0.04","2.31","0.37","0.18"
"","Felipe","ATX","2022","DM","891","10","4","1","1.96","-0.30","-0.96","4","2","0.35","1.65","2.31","0.61","0.77"
"","Juan José Purata","ATL","2022","CB","1604","14","8","6","2.17","2.22","3.83","2","0","0.15","-0.15","2.31","3.75","1.07"
"","Diego Chara","POR","2021","DM","2708","4","2","2","0.44","0.82","1.56","26","1","1.88","-0.88","2.31","0.57","0.22"
"","Matheus Rossetto","ATL","2023","DM","1929","15","7","1","1.02","0.83","-0.02","19","1","1.28","-0.28","2.30","0.76","0.30"
"","Ilie Sánchez","LAFC","2023","DM","2735","12","4","1","0.45","-0.09","0.55","16","2","1.85","0.15","2.30","1.03","0.33"
