,Player_ID,Passes,Distance,Vertical,Score,Season
2001,Dairon-Asprilla-2021-1,747,16.64,-0.08,-11.65,2021
2002,Dejan-Joveljic-2023-1,407,13.99,-2.36,-11.7,2023
2003,Frankie-Amaya-2021-1,341,19.94,4.37,-11.75,2021
2004,Felipe-Hernandez-2022-1,575,18.33,1.69,-11.76,2022
2005,Fabian-Herbers-2021-1,755,15.51,0.87,-11.78,2021
2006,Jonathan-Lewis-2022-1,473,15.95,-0.97,-11.79,2022
2007,Chris-Odoi-Atsem-2022-1,301,17.33,5.35,-11.8,2022
2008,Ibrahim-Aliyu-2023-1,274,14.35,-3.73,-11.81,2023
2009,Zachary-Brault-Guillard-2023-1,589,18.32,1.85,-11.84,2023
2010,Victor-Wanyama-2023-1,847,20.8,4.67,-11.88,2023
2011,Ayo-Akinola-2022-1,230,12.74,-3.28,-11.91,2022
2012,Brandon-Servania-2022-1,621,17.52,4.8,-11.91,2022
2013,Danny-Musovski-2022-1,138,13.94,-1.81,-11.95,2022
2014,Bobby-Wood-2021-1,152,14.25,-0.62,-11.97,2021
2015,Ahmed-Hamdi-2023-1,200,16.65,1.43,-11.99,2023
2016,Wyatt-Omsberg-2022-1,611,25.77,11.8,-12.05,2022
2017,Ronaldo-Cisneros-2022-1,337,13.11,-3.11,-12.06,2022
2018,Adalberto-Carrasquilla-2021-1,287,19.83,4.0,-12.06,2021
2019,Carlos-Fierro-2021-1,441,22.04,6.5,-12.08,2021
2020,Johan-Kappelhof-2021-1,526,22.41,9.52,-12.09,2021
2021,Donovan-Pines-2022-1,591,23.61,6.86,-12.14,2022
2022,Indiana-Vassilev-2023-1,761,20.38,3.88,-12.15,2023
2023,Raheem-Edwards-2022-1,1350,17.51,2.95,-12.2,2022
2024,Dylan-Nealis-2023-1,562,21.29,8.95,-12.25,2023
2025,Ian-Murphy-2022-1,690,21.72,8.99,-12.28,2022
2026,Michael-Estrada-2022-1,148,16.37,1.46,-12.28,2022
2027,Hassani-Dotson-2021-1,1170,17.41,3.54,-12.33,2021
2028,Ralph-Priso-Mbongue-2022-1,299,18.52,3.61,-12.36,2022
2029,Brandon-Bye-2023-1,984,19.14,3.94,-12.36,2023
2030,Mikael-Uhre-2022-1,317,14.12,1.21,-12.37,2022
2031,Jeremy-Ebobisse-2021-1,391,16.64,1.03,-12.38,2021
2032,Carlos-Gruezo-2023-1,954,21.32,4.94,-12.45,2023
2033,José-Andrés-Martínez-2021-1,1214,22.63,6.33,-12.46,2021
2034,Lucas-Zelarayán-2022-1,1362,21.79,5.26,-12.57,2022
2035,Elliot-Collier-2021-1,103,15.8,1.68,-12.62,2021
2036,Michael-Barrios-2023-1,240,16.94,0.49,-12.66,2023
2037,Patrick-Mullins-2021-1,185,14.53,0.46,-12.68,2021
2038,Jasper-Löeffelsend-2023-1,677,20.6,1.54,-12.68,2023
2039,Daniel-Ríos-2022-1,375,13.5,-1.66,-12.72,2022
2040,Brendan-Hines-Ike-2022-1,979,25.06,9.5,-12.75,2022
2041,Aljaz-Ivacic-2023-1,465,48.88,42.36,-12.75,2023
2042,Deandre-Kerr-2022-1,328,14.27,-0.36,-12.77,2022
2043,Patrick-Schulte-2023-1,1096,29.29,21.78,-12.8,2023
2044,Carlos-Terán-2022-1,824,25.26,9.34,-12.88,2022
2045,Joshua-Atencio-2021-1,817,18.97,4.74,-12.91,2021
2046,Hassan-Ndam-2023-1,364,22.47,9.21,-12.96,2023
2047,Niko-Hämäläinen-2021-1,725,19.23,5.34,-12.98,2021
