,Season,Player,Team,Minutes,Shots Faced,Goals Conceded,Saves,Player_ID,Count
154,2023,Aljaz-Ivacic,POR,1488,83,26,55,Aljaz-Ivacic-2023-1,1
155,2023,Jonathan-Sirois,MTL,3084,138,42,94,Jonathan-Sirois-2023-1,1
156,2023,Jonathan-Klinsmann,LAG,938,37,15,22,Jonathan-Klinsmann-2023-1,1
157,2023,Greg-Ranjitsingh,TOR,389,25,10,14,Greg-Ranjitsingh-2023-1,1
158,2022,John-Pulskamp,SKC,1139,50,17,32,John-Pulskamp-2022-1,1
159,2022,Thomas-Hasal,VAN,1655,78,27,49,Thomas-Hasal-2022-1,1
160,2023,Gavin-Beavers,RSL,639,28,14,13,Gavin-Beavers-2023-1,1
161,2022,Nick-Marsman,MIA,692,31,12,19,Nick-Marsman-2022-1,1
162,2022,Carlos-Coronel,NYRB,3302,118,39,73,Carlos-Coronel-2022-1,1
163,2022,Maxime-Crépeau,LAFC,3297,113,34,76,Maxime-Crépeau-2022-1,1
164,2023,David-Bingham,POR,1814,72,26,45,David-Bingham-2023-1,1
165,2023,Dayne-St.-Clair,MIN,2859,132,39,91,Dayne-St.-Clair-2023-1,1
166,2023,Luis-Barraza,NYC,2425,92,30,62,Luis-Barraza-2023-1,1
167,2023,Kendall-McIntosh,SKC,1333,58,20,38,Kendall-McIntosh-2023-1,1
168,2021,John-McCarthy,MIA,1253,58,20,35,John-McCarthy-2021-1,1
169,2022,Pedro-Gallese,ORL,3200,127,47,79,Pedro-Gallese-2022-1,1
170,2021,Jon-Kempin,DCU,978,37,16,18,Jon-Kempin-2021-1,1
171,2023,Joe-Bendik,PHI,792,31,12,15,Joe-Bendik-2023-1,1
172,2022,Quentin-Westberg,TOR,979,59,23,36,Quentin-Westberg-2022-1,1
173,2021,Alex-Bono,TOR,2374,126,42,82,Alex-Bono-2021-1,1
174,2021,Kenneth-Vermeer,CIN,1849,94,34,57,Kenneth-Vermeer-2021-1,1
175,2021,Michael-Nelson,HOU,1086,48,17,31,Michael-Nelson-2021-1,1
176,2022,Rocco-Rios-Novo,ATL,1532,68,27,40,Rocco-Rios-Novo-2022-1,1
177,2021,Bill-Hamid,DCU,1987,87,27,60,Bill-Hamid-2021-1,1
178,2023,Brad-Guzan,ATL,2620,98,37,60,Brad-Guzan-2023-1,1
179,2022,Cody-Cropper,VAN,1360,55,24,28,Cody-Cropper-2022-1,1
180,2021,James-Pantemis,MTL,1783,83,25,56,James-Pantemis-2021-1,1
181,2021,Tomás-Romero,LAFC,1799,62,28,33,Tomás-Romero-2021-1,1
182,2022,Tim-Melia,SKC,2033,80,34,45,Tim-Melia-2022-1,1
183,2022,Kristijan-Kahlina,CLT,3081,147,47,97,Kristijan-Kahlina-2022-1,1
184,2023,Tyler-Miller,DCU,2481,101,37,63,Tyler-Miller-2023-1,1
185,2023,Marko-Ilic,COL,1276,70,28,41,Marko-Ilic-2023-1,1
186,2021,Przemyslaw-Tyton,CIN,1419,89,35,53,Przemyslaw-Tyton-2021-1,1
187,2023,Jonathan-Bond,LAG,2275,123,44,78,Jonathan-Bond-2023-1,1
188,2022,Rafael-Romo,DCU,1341,82,32,49,Rafael-Romo-2022-1,1
189,2022,Jonathan-Bond,LAG,3396,146,51,90,Jonathan-Bond-2022-1,1
190,2022,Sebastian-Breza,MTL,2295,88,37,49,Sebastian-Breza-2022-1,1
191,2022,William-Yarbrough,COL,3336,159,54,99,William-Yarbrough-2022-1,1
192,2022,JT-Marcinkowski,SJE,3181,182,66,111,JT-Marcinkowski-2022-1,1
